case_nr,case_link,case_address,month
"BG Krems an der Donau, 6 S 25/05m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/1e268680b4aca7f7c1257a6c00614714!OpenDocument,3500,2007-01-01
"LG Leoben, 17 S 67/05d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/01d69e245d020235c1257a6c006a5a72!OpenDocument,8843,2007-01-01
"BG Braunau am Inn, 2 S 1/07a",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/df5aa3335b951847c1257a6c006470c0!OpenDocument,5280,2007-01-01
"BG Murau, 6 Se 6/06f",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/433dbc7b7d1c73f7c1257a6c006bfbcc!OpenDocument,8842,2007-01-01
"BG Fünfhaus, 16 S 49/05x",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/a587ddeaa4ef7318c1257a6c00591775!OpenDocument,1140,2007-01-01
"BG Innere Stadt Wien, 67 S 2/07b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/81bf38942732c252c1257a6c0054ff8e!OpenDocument,1060,2007-01-01
"BG Klagenfurt, 38 S 225/06z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/5d1ad200e68af538c1257a6c006c76eb!OpenDocument,9020,2007-01-01
"BG Bruck an der Mur, 8 S 18/06g",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/b29e22aca5939b3bc1257a6c0069d8be!OpenDocument,8641,2007-01-01
"BG Favoriten, 44 S 30/06d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/51f0009651a9501dc1257a6c00585c1e!OpenDocument,1100,2007-01-01
"BG Kufstein, 6 S 63/06m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/b9673ed389d7c7fbc1257a6c006f8fea!OpenDocument,6335,2007-01-01
"BG Kufstein, 6 S 62/06i",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/106425eacf7bc32dc1257a6c006f8fd9!OpenDocument,6335,2007-01-01
"BG Hernals, 31 S 39/06s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/093feeb2bfef902fc1257a6c005a5da0!OpenDocument,1170,2007-01-01
"BG Stainz, 2 S 5/06m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/7233b2b7c727f242c1257a6c006ab5a5!OpenDocument,8503,2007-01-01
